Pick and Ban Order - LCK 2024 Spring,Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD


Week 5,Hanwha Life Esports,Nongshim RedForce,1 - 0,1,14.3,Poppy,Yone,Orianna,Senna,Lucian,Akali,Smolder,"Vi, Kalista","Maokai, Tristana",Taliyah,Rumble,Ashe,Gnar,Renata Glasc,Udyr,"Alistar, Gwen",Rell,Bot,Jungle,Mid,Support,Top,Jungle,Bot,Mid,Top,Support,SB,https://www.youtube.com/live/fQ8KzZ5Swts?si=AQP83Ci0RTA_-4Cb&t=15208
Week 5,OKSavingsBank BRION,Kwangdong Freecs,2 - 1,1,14.3,Hwei,Ashe,Kalista,Azir,Senna,Varus,Orianna,"Karma, K'Sante","Smolder, Nautilus",Ezreal,Poppy,Lee Sin,Viego,Vi,Taliyah,"Sejuani, Aatrox",Maokai,Mid,Bot,Support,Jungle,Top,Support,Top,Bot,Mid,Jungle,SB,https://www.youtube.com/live/fQ8KzZ5Swts?si=cNWnrjNNUTcS844i&t=8300
Week 5,Kwangdong Freecs,OKSavingsBank BRION,1 - 1,1,14.3,Ashe,Kalista,Varus,Hwei,Azir,Orianna,Senna,"Nautilus, K'Sante","Seraphine, Karma",Smolder,Aatrox,Taliyah,Viego,Tristana,Xin Zhao,"Poppy, Lee Sin",Ryze,Support,Bot,Mid,Top,Jungle,Support,Top,Bot,Jungle,Mid,SB,https://www.youtube.com/live/fQ8KzZ5Swts?si=VrlucdjfCHQqeiaY&t=5079
Week 5,Kwangdong Freecs,OKSavingsBank BRION,0 - 1,2,14.3,Ashe,Kalista,Varus,Hwei,Smolder,Senna,Karma,"K'Sante, Sejuani","Aatrox, Lee Sin",Azir,Ezreal,Lucian,Draven,Rakan,Zeri,"Aphelios, Milio",Nautilus,Mid,Top,Jungle,Bot,Support,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/fQ8KzZ5Swts?si=mhhccYk8GHZkzOLI&t=1788
Week 5,DRX,Gen.G,0 - 2,2,14.3,Maokai,Senna,Lucian,Smolder,Kalista,Sejuani,Varus,"Nautilus, Azir","Rakan, Vi",Zeri,Taliyah,Poppy,Hwei,Twisted Fate,Lee Sin,"Akali, K'Sante",Udyr,Bot,Support,Jungle,Mid,Top,Support,Mid,Bot,Jungle,Top,SB,https://www.youtube.com/live/8SEn1CAYYSg?si=vIErc1MXdCZqpUh9&t=13722
Week 5,Gen.G,DRX,1 - 0,1,14.3,Sejuani,Maokai,Smolder,Kalista,Poppy,Varus,Senna,"Karma, Lee Sin","Nautilus, Azir",Pyke,Viego,Sivir,Rell,Ezreal,K'Sante,"Twisted Fate, Vi",Ziggs,Bot,Support,Mid,Top,Jungle,Mid,Jungle,Support,Top,Bot,SB,https://www.youtube.com/live/8SEn1CAYYSg?si=9W-8aDMWpiLCxCjZ&t=10809
Week 5,FearX,Dplus KIA,0 - 2,2,14.3,Vi,Senna,Poppy,Yone,Lucian,Ashe,Kalista,"Varus, Rell","Lee Sin, Orianna",Azir,Rumble,Gnar,Jax,Renata Glasc,Twisted Fate,"Aatrox, Alistar",Rakan,Bot,Jungle,Mid,Top,Support,Bot,Jungle,Mid,Top,Support,SB,https://www.youtube.com/live/8SEn1CAYYSg?si=0gNxCD4DXfIapoZx&t=5154
Week 5,Dplus KIA,FearX,1 - 0,1,14.3,Jax,Vi,Ashe,Twisted Fate,Kalista,Rell,Senna,"Varus, Sejuani","Lee Sin, Nautilus",Yone,LeBlanc,Rumble,Orianna,Renata Glasc,Maokai,"Gnar, Azir",Camille,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Mid,Support,Top,SB,https://www.youtube.com/live/8SEn1CAYYSg?si=sLsAHSwh5BA3o_dg&t=1778
Week 5,Hanwha Life Esports,KT Rolster,2 - 0,1,14.3,Orianna,Lucian,Kalista,Senna,Smolder,Varus,Maokai,"Ashe, Sejuani","Yone, Jhin",K'Sante,Rumble,Azir,Gnar,Alistar,Taliyah,"Rakan, Udyr",Sivir,Jungle,Mid,Bot,Support,Top,Support,Jungle,Top,Mid,Bot,SB,https://www.youtube.com/live/srcPwOKtH5E?si=krfwUATSwCsteKdT&t=19547
Week 5,Hanwha Life Esports,KT Rolster,1 - 0,1,14.3,Orianna,Lucian,Kalista,Senna,Ashe,Maokai,Varus,"Smolder, Taliyah","Sejuani, Yone",Vi,Rumble,K'Sante,Renata Glasc,Udyr,Alistar,"Rakan, Gnar",Aatrox,Bot,Jungle,Mid,Support,Top,Bot,Mid,Jungle,Support,Top,SB,https://www.youtube.com/live/srcPwOKtH5E?si=CUeLaNaqK9ZZ7KuS&t=14939
